Page Name,Followers at Posting,Post Created Date,Type,Total Interactions,Likes,Comments,Shares,Message,Link Text,Engagement Ratio,Post Hour,Post Day,Post Month,Post Length,Presence of Media,Interaction Rate
Alexion Pharmaceuticals,607.0,2021-02-28,Native Video,24.0,15,0,5,People living with rare and devastating diseases are our inspiration and our Guiding Star. Hear messages from our employees to the #RareDisease community. Rare is many. Rare is strong. Rare is proud. #RareDiseaseDay,Rare Disease Day 2021,0.039538714991762765,0,Sunday,February,215,0,0.039538714991762765
Alexion Pharmaceuticals,604.0,2021-02-26,Link,10.0,8,0,0,"It has been one year since we launched the Alexion Charitable Foundation to offer promise and cultivate a sense of belonging, particularly for people affected by #RareDiseases. Were proud to share the impact made this past year: http://bit.ly/3szvrmD:=:https://alexion.com/our-commitment/csr-star-in-action/csr-stories?id=318001 #RareDiseaseDay",Alexion,0.016556291390728478,0,Friday,February,345,0,0.016556291390728478
Dover Corporation,712.0,2021-02-25,Photo,0.0,0,0,0,"DESTACO introduces the TC1 manual tool changer designed for collaborative robot (cobot) pick and place, load and unload applications. http://ow.ly/Tlk350DDWXK:=:https://www.dovercorporation.com/news/in-the-news/post/2021/02/25/destaco-introduces-tc1-quick-install-manual-tool-changer-for-cobots",Timeline Photos,0.0,0,Thursday,February,294,1,0.0
SL Green Realty Corp.,559.0,2021-02-25,Photo,8.0,8,0,0,"One of the most recognizable Art Deco towers in Midtown Manhattan, #110East42 is truly a distinct New York address that is hard to miss.",Timeline Photos,0.014311270125223614,0,Thursday,February,136,1,0.014311270125223614
HollyFrontier Careers,103.0,2021-02-25,Photo,5.0,5,0,0,"At HollyFrontier, we care for our people both on and off the job. Check out our competitive employee benefits package and discover how we prioritize the health and safety of our team. https://hfc-rewards.com",,0.04854368932038835,0,Thursday,February,207,1,0.04854368932038835
Alexion Pharmaceuticals,598.0,2021-02-25,Photo,6.0,4,0,0,"People living with rare diseases wait a long time to receive a correct diagnosis, and many never receive one at all. Rare Answers is a group of innovative and sustainable solutions designed to help shorten the diagnostic journey and time to initiating treatment of children with a #RareDisease. Learn more: http://bit.ly/2O0lv6F:=:https://ir.alexion.com/news-releases/news-release-details/rare-answerstm-system-improve-patient-outcomes #RareDiseaseDay",Rare Disease Day,0.010033444816053512,0,Thursday,February,452,1,0.010033444816053512
Church & Dwight Co.,596.0,2021-02-24,Photo,11.0,7,0,4,"Church & Dwight will be looking for great candidates to hire for our Production Operator roles at our virtual hiring event! The pay range for this position is $17.02-$17.82/hr:=:http://$17.02-$17.82/hr, and we also offer an excellent benefits package that includes paid time off, 401K, Health, Dental, Vision, Annual Bonus, Profit Sharing Plan, and Education Reimbursement. Visit https://careers.churchdwight.com/ to learn more about this position and its responsibilities. #CHD #ChurchandDwight #VirtualHiringEvent #Hiring #Indeed #virtualevents Click the link below to learn details about the event and schedule your interview today! https://events.indeed.com/event/83539/?from=ihe_activation_email",,0.018456375838926176,0,Wednesday,February,700,1,0.018456375838926176
WEC Energy Group,263.0,2021-02-24,Photo,16.0,15,1,0,"Congratulations to our own Greta Weathersby, senior corporate counsel - WEC Energy Group, for being honored with the 2021 Earl B. Dickerson Award from The Chicago Bar Association. The award recognizes minority lawyers and judges whose careers at the bar emulate the courage and dedication of Dickerson in making the law the key to justice for all in our society. Dickerson's life and professional career was dedicated to the law and helping others gain equality and justice.",Timeline Photos,0.060836501901140684,0,Wednesday,February,474,1,0.060836501901140684
Alexion Pharmaceuticals,596.0,2021-02-24,Native Video,18.0,16,1,0,"LEAP is an immersive experience that engages cross-functional team members, patients, and other stakeholders to challenge our assumptions, deepen our understanding, and identify value-added solutions. #RareDiseaseDay",LEAP,0.030201342281879196,0,Wednesday,February,216,0,0.030201342281879196
Alexion Pharmaceuticals,595.0,2021-02-23,Photo,23.0,18,0,2,"Check out the replay of our latest Rare Inspiration. Changing Lives. session, featuring a distinguished panel tackling the topic of health equity. Were grateful to Sarah White, Executive Director at the MRCT Center, Anne Pariser, M.D., Director, National Center for Advancing Translational Sciences, Adrian Palau-Tejeda, Diversity and Inclusion Fellow, EveryLife Foundation for Rare Diseases, Durhane Wong-Rieger, President & CEO, Canadian Organization for Rare Disorders, and Uzair Qadeer, our Chief Diversity Officer, for joining us. rarediseaseday.alexion.com #RareDiseaseDay",,0.03865546218487395,0,Tuesday,February,581,1,0.03865546218487395
